Nutrient or Food group,Variable,Value,Table
Fiber (g),"Recommended density*:Nutrient or food group amount per 1,000 calories",14,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"Recommended density*:Nutrient or food group amount per 1,000 calories",5.95,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"Recommended density*:Nutrient or food group amount per 1,000 calories",20-35,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"Recommended density*:Nutrient or food group amount per 1,000 calories",10,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"Recommended density*:Nutrient or food group amount per 1,000 calories",500,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"Recommended density*:Nutrient or food group amount per 1,000 calories",9,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"Recommended density*:Nutrient or food group amount per 1,000 calories",1150,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",1.25,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.11,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.39,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
